Season,ID,Venue,MatchNumber,Team1,WinningTeam,TossWinner,TossDecision,T1Total,T1Balls_Faced,T1Extra,T1Wickets,T14s,T16s,T1_Strike_Rate,T1_Avg,T2_BSR,T2_Eco,Team2,T2Total,T2Balls_Faced,T2Extra,T2Wickets,T24s,T26s,T2_Strike_Rate,T2_Avg,T1_BSR,T1_Eco
2008,335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,field,222,124,17,3,15,14,1.7903225806451613,74.0,41.333333333333336,1.7903225806451613,Royal Challengers Bangalore,82,101,19,10,3,3,0.8118811881188119,8.2,10.1,0.8118811881188119
2008,335983,"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,240,124,6,5,20,16,1.935483870967742,48.0,24.8,1.935483870967742,Punjab Kings,207,124,11,4,18,9,1.6693548387096775,51.75,31.0,1.6693548387096775
2008,335984,Feroz Shah Kotla,3,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,129,122,7,8,14,3,1.0573770491803278,16.125,15.25,1.0573770491803278,Delhi Capitals,132,97,10,1,18,1,1.3608247422680413,132.0,97.0,1.3608247422680413
2008,335985,"Wankhede Stadium, Mumbai",5,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,165,123,11,7,18,5,1.3414634146341464,23.571428571428573,17.571428571428573,1.3414634146341464,Royal Challengers Bangalore,166,123,5,5,15,6,1.3495934959349594,33.2,24.6,1.3495934959349594
2008,335986,"Eden Gardens, Kolkata",4,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,110,118,10,10,6,6,0.9322033898305084,11.0,11.8,0.9322033898305084,Kolkata Knight Riders,112,122,28,5,5,4,0.9180327868852459,22.4,24.4,0.9180327868852459
2008,335987,Sawai Mansingh Stadium,6,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,166,122,4,8,18,7,1.360655737704918,20.75,15.25,1.360655737704918,Rajasthan Royals,168,119,12,4,17,7,1.411764705882353,42.0,29.75,1.411764705882353
2008,335988,Rajiv Gandhi International Stadium,7,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,142,122,5,8,12,6,1.1639344262295082,17.75,15.25,1.1639344262295082,Delhi Capitals,143,83,12,1,15,6,1.7228915662650603,143.0,83.0,1.7228915662650603
2008,335989,"MA Chidambaram Stadium, Chepauk, Chennai",8,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,field,208,127,18,5,24,6,1.6377952755905512,41.6,25.4,1.6377952755905512,Mumbai Indians,202,128,13,7,19,8,1.578125,28.857142857142858,18.285714285714285,1.578125
2008,335990,Rajiv Gandhi International Stadium,9,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,214,126,6,5,24,9,1.6984126984126984,42.8,25.2,1.6984126984126984,Rajasthan Royals,217,122,7,7,18,14,1.778688524590164,31.0,17.428571428571427,1.778688524590164
2008,335991,"Punjab Cricket Association Stadium, Mohali",10,Punjab Kings,Punjab Kings,Mumbai Indians,field,182,124,7,10,18,5,1.467741935483871,18.2,12.4,1.467741935483871,Mumbai Indians,116,126,7,9,12,4,0.9206349206349206,12.88888888888889,14.0,0.9206349206349206
2008,335992,M Chinnaswamy Stadium,12,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,135,124,6,8,12,7,1.0887096774193548,16.875,15.5,1.0887096774193548,Rajasthan Royals,138,105,3,3,22,2,1.3142857142857143,46.0,35.0,1.3142857142857143
2008,335993,"MA Chidambaram Stadium, Chepauk, Chennai",11,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,147,126,8,9,14,4,1.1666666666666667,16.333333333333332,14.0,1.1666666666666667,Chennai Super Kings,152,107,18,1,12,5,1.4205607476635513,152.0,107.0,1.4205607476635513
2008,335994,"Dr DY Patil Sports Academy, Mumbai",14,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,154,125,11,7,14,5,1.232,22.0,17.857142857142858,1.232,Deccan Chargers,155,77,9,0,13,11,2.012987012987013,155.0,0.0,2.012987012987013
2008,335995,"Punjab Cricket Association Stadium, Mohali",13,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,158,125,11,8,18,2,1.264,19.75,15.625,1.264,Punjab Kings,162,123,9,6,19,3,1.3170731707317074,27.0,20.5,1.3170731707317074
2008,335996,M Chinnaswamy Stadium,15,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,178,123,4,5,17,8,1.4471544715447155,35.6,24.6,1.4471544715447155,Royal Challengers Bangalore,165,124,7,10,14,5,1.3306451612903225,16.5,12.4,1.3306451612903225
2008,335997,"Eden Gardens, Kolkata",16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,137,125,13,8,15,3,1.096,17.125,15.625,1.096,Mumbai Indians,138,118,15,3,17,2,1.1694915254237288,46.0,39.333333333333336,1.1694915254237288
2008,335998,Feroz Shah Kotla,17,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,field,191,122,4,5,21,5,1.5655737704918034,38.2,24.4,1.5655737704918034,Royal Challengers Bangalore,181,121,12,5,16,7,1.4958677685950412,36.2,24.2,1.4958677685950412
2008,335999,Rajiv Gandhi International Stadium,19,Deccan Chargers,Punjab Kings,Punjab Kings,field,164,122,4,8,19,3,1.3442622950819672,20.5,15.25,1.3442622950819672,Punjab Kings,167,117,6,3,21,2,1.4273504273504274,55.666666666666664,39.0,1.4273504273504274
2008,336000,Sawai Mansingh Stadium,18,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,bat,196,127,14,7,22,5,1.5433070866141732,28.0,18.142857142857142,1.5433070866141732,Kolkata Knight Riders,151,122,12,10,8,6,1.2377049180327868,15.1,12.2,1.2377049180327868
2008,336001,"MA Chidambaram Stadium, Chepauk, Chennai",20,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,169,126,7,6,17,5,1.3412698412698412,28.166666666666668,21.0,1.3412698412698412,Delhi Capitals,172,118,6,2,16,5,1.4576271186440677,86.0,59.0,1.4576271186440677
2008,336002,Rajiv Gandhi International Stadium,51,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,165,126,13,10,15,7,1.3095238095238095,16.5,12.6,1.3095238095238095,Royal Challengers Bangalore,171,114,3,5,19,7,1.5,34.2,22.8,1.5
2008,336003,"Punjab Cricket Association Stadium, Mohali",22,Punjab Kings,Punjab Kings,Punjab Kings,bat,178,125,14,6,22,4,1.424,29.666666666666668,20.833333333333332,1.424,Kolkata Knight Riders,169,122,7,6,9,9,1.3852459016393444,28.166666666666668,20.333333333333332,1.3852459016393444
2008,336004,"Dr DY Patil Sports Academy, Mumbai",23,Mumbai Indians,Mumbai Indians,Delhi Capitals,field,162,124,10,8,14,8,1.3064516129032258,20.25,15.5,1.3064516129032258,Delhi Capitals,133,114,4,10,9,5,1.1666666666666667,13.3,11.4,1.1666666666666667
2008,336005,Sawai Mansingh Stadium,24,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,109,116,7,10,12,1,0.9396551724137931,10.9,11.6,0.9396551724137931,Rajasthan Royals,110,93,21,2,10,2,1.1827956989247312,55.0,46.5,1.1827956989247312
2008,336006,M Chinnaswamy Stadium,25,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,126,121,10,10,16,1,1.0413223140495869,12.6,12.1,1.0413223140495869,Punjab Kings,127,117,17,4,12,3,1.0854700854700854,31.75,29.25,1.0854700854700854
2008,336007,"MA Chidambaram Stadium, Chepauk, Chennai",26,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,144,124,10,7,12,5,1.1612903225806452,20.571428571428573,17.714285714285715,1.1612903225806452,Deccan Chargers,148,112,5,3,15,7,1.3214285714285714,49.333333333333336,37.333333333333336,1.3214285714285714
2008,336008,"Dr DY Patil Sports Academy, Mumbai",27,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,103,103,7,10,9,2,1.0,10.3,10.3,1.0,Mumbai Indians,104,99,12,3,7,3,1.0505050505050506,34.666666666666664,33.0,1.0505050505050506
2008,336009,Feroz Shah Kotla,28,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,187,126,12,5,22,3,1.4841269841269842,37.4,25.2,1.4841269841269842,Chennai Super Kings,188,125,11,6,20,5,1.504,31.333333333333332,20.833333333333332,1.504
2008,336010,"Eden Gardens, Kolkata",29,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,bat,129,98,5,7,12,5,1.316326530612245,18.428571428571427,14.0,1.316326530612245,Royal Challengers Bangalore,124,99,6,4,15,2,1.2525252525252526,31.0,24.75,1.2525252525252526
