,Season,Venue,City,innings,batter,Match_Played,Balls_Faced,Runs,4s,6s,Out,Not_Out,Strike_Rate,Avg,Explosivity_Rating,Running_Rating,Finisher_Rating
6075,2016,M Chinnaswamy Stadium,Bangalore,1,V Kohli,6,257,435,36,23,6.0,0.0,436.0,477.8333333333333,60.0,377.0,1.0
3916,2013,M Chinnaswamy Stadium,Bangalore,1,CH Gayle,4,200,372,28,32,2.0,2.0,373.0,472.0,61.0,313.0,3.0
7137,2018,"Arun Jaitley Stadium, Delhi",Delhi,1,RR Pant,6,205,360,34,22,5.0,1.0,361.0,401.0,57.0,305.0,2.0
5416,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,BB McCullum,7,211,313,33,18,6.0,1.0,314.0,348.1666666666667,52.0,263.0,2.0
2444,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MEK Hussey,6,233,290,28,5,5.0,1.0,291.0,336.6,34.0,258.0,2.0
4480,2013,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,7,182,294,20,18,3.0,4.0,295.0,354.6666666666667,39.0,257.0,5.0
6039,2016,M Chinnaswamy Stadium,Bangalore,1,AB de Villiers,6,165,294,27,20,5.0,1.0,295.0,327.0,48.0,248.0,2.0
138,2008,Feroz Shah Kotla,Delhi,1,G Gambhir,4,188,285,36,5,4.0,0.0,286.0,332.0,42.0,245.0,1.0
4476,2013,"Wankhede Stadium, Mumbai",Mumbai,1,KD Karthik,7,197,273,31,8,6.0,1.0,274.0,305.8333333333333,40.0,235.0,2.0
4356,2013,Sawai Mansingh Stadium,Jaipur,2,SR Watson,6,159,274,33,12,4.0,2.0,275.0,313.75,46.0,230.0,3.0
8249,2019,Rajiv Gandhi International Stadium,Hyderabad,2,DA Warner,5,164,252,27,8,5.0,0.0,253.0,284.8,36.0,218.0,1.0
8253,2019,Rajiv Gandhi International Stadium,Hyderabad,2,JM Bairstow,5,161,243,24,9,3.0,2.0,244.0,296.6666666666667,34.0,211.0,3.0
3408,2012,Sawai Mansingh Stadium,Jaipur,1,AM Rahane,6,198,231,34,1,6.0,0.0,232.0,264.0,36.0,197.0,1.0
2935,2012,"Eden Gardens, Kolkata",Kolkata,1,G Gambhir,4,153,227,21,10,4.0,0.0,228.0,265.25,32.0,197.0,1.0
9902,2022,"Wankhede Stadium, Mumbai",Mumbai,1,JC Buttler,4,153,221,13,16,3.0,1.0,222.0,272.0,30.0,193.0,2.0
7698,2018,"Wankhede Stadium, Mumbai",Mumbai,1,E Lewis,6,159,225,19,16,6.0,0.0,226.0,251.5,36.0,191.0,1.0
2442,2011,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,M Vijay,7,166,215,15,11,7.0,0.0,216.0,238.71428571428572,27.0,190.0,1.0
3230,2012,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,SK Raina,6,144,212,14,10,6.0,0.0,213.0,236.0,25.0,189.0,1.0
8722,2021,Dubai International Cricket Stadium,Dubai,2,KL Rahul,3,139,214,15,12,2.0,1.0,215.0,283.5,28.0,188.0,2.0
8174,2019,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2,KL Rahul,3,147,213,20,7,1.0,2.0,214.0,360.0,28.0,187.0,3.0
2802,2011,"Wankhede Stadium, Mumbai",Mumbai,1,RG Sharma,4,143,212,18,9,4.0,0.0,213.0,247.75,28.0,186.0,1.0
6897,2017,Rajiv Gandhi International Stadium,Hyderabad,1,DA Warner,4,133,214,19,11,3.0,1.0,215.0,258.3333333333333,31.0,185.0,2.0
7713,2018,"Wankhede Stadium, Mumbai",Mumbai,1,SA Yadav,6,149,220,30,6,6.0,0.0,221.0,244.83333333333334,37.0,185.0,1.0
5421,2015,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,1,MS Dhoni,7,148,208,12,13,4.0,3.0,209.0,245.0,26.0,184.0,4.0
4654,2014,Feroz Shah Kotla,Delhi,1,KD Karthik,5,151,207,16,9,5.0,0.0,208.0,237.2,26.0,183.0,1.0
8818,2021,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2,JM Bairstow,5,152,211,15,14,4.0,1.0,212.0,249.0,30.0,183.0,2.0
